protein_name	best_model	auroc	auprc	val_auroc	val_auprc	accuracy	f1	n_train	n_val	n_test	n_pos	n_neg	n_deduped_removed	rna_length_mode	split_mode	dataset
HNRNPA0	random_forest	0.982075	0.9805340542952086	0.98645	0.9820623586656392	0.9733333333333334	0.958974358974359	1800	600	600	1000	2000	0	40	honest_60_20_20	htr_selex
HNRNPA1	random_forest	0.9154499999999999	0.8758951453499915	0.9087374999999999	0.8505230531802509	0.8533333333333334	0.7832512315270936	1800	600	600	1000	2000	0	40	honest_60_20_20	htr_selex
HNRNPA1L2	random_forest	0.9868625000000001	0.9871478058269211	0.989325	0.9851279685784036	0.9666666666666667	0.9507389162561576	1800	600	600	1000	2000	0	40	honest_60_20_20	htr_selex
HNRNPA3	random_forest	0.9573124999999999	0.9275970945181049	0.9581124999999999	0.9277803037623992	0.9066666666666666	0.8672985781990521	1800	600	600	1000	2000	0	40	honest_60_20_20	htr_selex
HNRNPC	random_forest	0.9869875	0.9788921465597641	0.9868875	0.9857783347325303	0.9383333333333334	0.9033942558746736	1800	600	600	1000	2000	0	40	honest_60_20_20	htr_selex
HNRNPCL1	random_forest	0.9885250000000001	0.9860668142481245	0.9826874999999999	0.97802530885907	0.96	0.9414634146341463	1800	600	600	1000	2000	0	40	honest_60_20_20	htr_selex
HNRNPL-construct2	random_forest	0.9713374999999999	0.9688195377225991	0.9717375	0.9656894030516724	0.9333333333333333	0.9014778325123153	1800	600	600	1000	2000	0	40	honest_60_20_20	htr_selex
HNRPLL	random_forest	0.923075	0.8850228401231981	0.8825	0.8296431445064707	0.8483333333333334	0.7764127764127764	1800	600	600	1000	2000	0	40	honest_60_20_20	htr_selex
IGF2BP1	random_forest	0.8809624999999999	0.8013008259524412	0.9029375000000002	0.8376613610937746	0.8083333333333333	0.7242206235011991	1800	600	600	1000	2000	0	40	honest_60_20_20	htr_selex
IGF2BP1-construct4	logistic_regression	0.8962374999999999	0.8381469179757597	0.8917499999999999	0.8282619854705107	0.8116666666666666	0.7365967365967366	1800	600	600	1000	2000	0	40	honest_60_20_20	htr_selex
KHDRBS1	random_forest	0.9502225646293443	0.9202011690762792	0.9476161520617976	0.8935784729377837	0.9074074074074074	0.8235294117647058	1482	484	486	1000	2000	0	40	honest_60_20_20	htr_selex
KHDRBS2	random_forest	0.9376512401693889	0.9427273030127786	0.9381179614430234	0.9250030089130606	0.8865030674846626	0.8802588996763754	950	324	326	1000	2000	0	26	honest_60_20_20	htr_selex
KHDRBS3	logistic_regression	0.9125374999999999	0.8428785118574216	0.924525	0.8999604199081063	0.8433333333333334	0.7761904761904762	1800	600	600	1000	2000	0	40	honest_60_20_20	htr_selex
LARP6	random_forest	0.8998875	0.8426152884330718	0.8895875	0.8351651584038842	0.8216666666666667	0.727735368956743	1800	600	600	1000	2000	0	40	honest_60_20_20	htr_selex
LARP7-construct4	random_forest	0.9005624999999999	0.8180807838553995	0.9338625	0.8749414411035779	0.8183333333333334	0.7447306791569087	1800	600	600	1000	2000	0	40	honest_60_20_20	htr_selex
MCM3AP	random_forest	0.9713125	0.9511462038959785	0.9739500000000001	0.9596208987741772	0.925	0.8920863309352518	1800	600	600	1000	2000	0	40	honest_60_20_20	htr_selex
MEX3B-construct3	random_forest	0.9383	0.9232744583465299	0.9311875	0.9055808036457829	0.8783333333333333	0.8197530864197531	1800	600	600	1000	2000	0	40	honest_60_20_20	htr_selex
MEX3C	random_forest	0.9555499999999999	0.9176893798694176	0.929825	0.8825620249153986	0.8816666666666667	0.8375286041189931	1800	600	600	1000	2000	0	40	honest_60_20_20	htr_selex
MEX3D	random_forest	0.943075	0.9274825346707729	0.9397125000000002	0.9237980474841568	0.895	0.8396946564885496	1800	600	600	1000	2000	0	40	honest_60_20_20	htr_selex
MEX3D-construct3	random_forest	0.707025	0.6714582646179674	0.7281375	0.7042797717510967	0.75	0.5283018867924528	1800	600	600	1000	2000	0	40	honest_60_20_20	htr_selex
MKRN1	random_forest	0.99095	0.9883850724770584	0.9907250000000001	0.9906531062909223	0.965	0.9481481481481482	1800	600	600	1000	2000	0	40	honest_60_20_20	htr_selex
MSI1	random_forest	0.9581749999999999	0.9490592714328907	0.9573875	0.9501636508582079	0.9166666666666666	0.8743718592964824	1800	600	600	1000	2000	0	40	honest_60_20_20	htr_selex
MSI2	random_forest	0.9218374999999999	0.8949747252496543	0.9317375	0.9007904608567421	0.86	0.7741935483870968	1800	600	600	1000	2000	0	40	honest_60_20_20	htr_selex
NOVA2-construct3	logistic_regression	0.9986625	0.997516746414557	0.9925250000000001	0.9895417156983973	0.975	0.9629629629629629	1800	600	600	1000	2000	0	40	honest_60_20_20	htr_selex
PABPC5	logistic_regression	0.92225	0.8662915018950135	0.9189624999999999	0.8761053219235944	0.8483333333333334	0.7878787878787878	1800	600	600	1000	2000	0	40	honest_60_20_20	htr_selex
PCBP1	random_forest	0.9610500000000001	0.9400586861825397	0.96585	0.9607592370745621	0.9133333333333333	0.8767772511848341	1800	600	600	1000	2000	0	40	honest_60_20_20	htr_selex
PUM1	random_forest	0.8136875	0.6834914156034928	0.844725	0.7430885058771146	0.7533333333333333	0.6390243902439025	1800	600	600	1000	2000	0	40	honest_60_20_20	htr_selex
PUM2	random_forest	0.9928125000000001	0.9870829219527647	0.9958375	0.9916075952383021	0.9566666666666667	0.9375	1800	600	600	1000	2000	0	40	honest_60_20_20	htr_selex
QKI	logistic_regression	0.9486625000000001	0.9237481479377536	0.945075	0.9200686744791142	0.8733333333333333	0.8215962441314554	1800	600	600	1000	2000	0	40	honest_60_20_20	htr_selex
RALY	random_forest	0.9614375	0.9578106412036708	0.96925	0.9623147320269176	0.955	0.9298701298701298	1800	600	600	1000	2000	0	40	honest_60_20_20	htr_selex
RBFOX1	logistic_regression	0.963175	0.9383552044918322	0.9759500000000001	0.9605362322881725	0.915	0.871536523929471	1800	600	600	1000	2000	0	40	honest_60_20_20	htr_selex
RBFOX1-construct2	random_forest	0.884375	0.8170194390569373	0.8707374999999999	0.8103149276443156	0.8266666666666667	0.7450980392156863	1800	600	600	1000	2000	0	40	honest_60_20_20	htr_selex
RBFOX1-construct4	random_forest	0.980075	0.9783087415866999	0.9840625	0.9836778412272048	0.9683333333333334	0.9523809523809523	1800	600	600	1000	2000	0	40	honest_60_20_20	htr_selex
