protein_name	best_model	auroc	auprc	val_auroc	val_auprc	accuracy	f1	n_train	n_val	n_test	n_pos	n_neg	n_deduped_removed	rna_length_mode	split_mode	dataset
KHDRBS2	random_forest	0.9376512401693888	0.9427273030127786	0.9381179614430234	0.9250030089130606	0.8865030674846626	0.8802588996763754	950	324	326	1000	2000	0	26.0	honest_60_20_20	htr_selex
KHDRBS3	logistic_regression	0.9125375	0.8428785118574216	0.924525	0.8999604199081063	0.8433333333333334	0.7761904761904762	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
LARP6	random_forest	0.8998875	0.8426152884330718	0.8895875	0.8351651584038842	0.8216666666666667	0.727735368956743	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
LARP7-construct4	random_forest	0.9005624999999999	0.8180807838553995	0.9338625	0.8749414411035779	0.8183333333333334	0.7447306791569087	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
MCM3AP	random_forest	0.9713125	0.9511462038959784	0.97395	0.9596208987741772	0.925	0.8920863309352518	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
MEX3B-construct3	random_forest	0.9383	0.92327445834653	0.9311875	0.9055808036457828	0.8783333333333333	0.8197530864197531	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
MEX3C	random_forest	0.95555	0.9176893798694176	0.929825	0.8825620249153986	0.8816666666666667	0.8375286041189931	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
MEX3D	random_forest	0.943075	0.9274825346707728	0.9397125000000002	0.9237980474841568	0.895	0.8396946564885496	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
MEX3D-construct3	random_forest	0.707025	0.6714582646179674	0.7281375	0.7042797717510967	0.75	0.5283018867924528	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
MKRN1	random_forest	0.99095	0.9883850724770584	0.990725	0.9906531062909224	0.965	0.9481481481481482	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
MSI1	random_forest	0.958175	0.9490592714328908	0.9573875	0.950163650858208	0.9166666666666666	0.8743718592964824	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
MSI2	random_forest	0.9218375	0.8949747252496543	0.9317375	0.900790460856742	0.86	0.7741935483870968	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
NOVA2-construct3	logistic_regression	0.9986625	0.997516746414557	0.992525	0.9895417156983972	0.975	0.9629629629629628	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
