protein_name	model	val_auroc	val_auprc	test_auroc	test_auprc	n_train	n_val	n_test	n_pos	n_neg	n_deduped_removed
HNRNPA1	logistic_regression	0.8884562500000001	0.8058756663530888	0.9091500000000001	0.8595934780615513	1800	600	600	1000	2000	0
HNRNPA1	random_forest	0.9087374999999999	0.8505230531802509	0.9154499999999999	0.8758951453499915	1800	600	600	1000	2000	0
HNRNPA1L2	logistic_regression	0.9817875	0.9734762563837128	0.9859375	0.9858638168433719	1800	600	600	1000	2000	0
HNRNPA1L2	random_forest	0.989325	0.9851279685784036	0.9868625000000001	0.9871478058269211	1800	600	600	1000	2000	0
HNRNPA3	logistic_regression	0.9254125	0.8606106065197603	0.94055	0.8902145265353625	1800	600	600	1000	2000	0
HNRNPA3	random_forest	0.9581124999999999	0.9277803037623992	0.9573124999999999	0.9275970945181049	1800	600	600	1000	2000	0
HNRNPC	logistic_regression	0.9795250000000001	0.9582289562049294	0.9744750000000001	0.9611032918502819	1800	600	600	1000	2000	0
HNRNPC	random_forest	0.9868875	0.9857783347325303	0.9869875	0.9788921465597641	1800	600	600	1000	2000	0
HNRNPCL1	logistic_regression	0.9769874999999999	0.9665542946433198	0.9841	0.9749420384019785	1800	600	600	1000	2000	0
HNRNPCL1	random_forest	0.9826874999999999	0.97802530885907	0.9885250000000001	0.9860668142481245	1800	600	600	1000	2000	0
HNRNPL-construct2	logistic_regression	0.955025	0.9447389404257241	0.9632124999999999	0.9526154328971661	1800	600	600	1000	2000	0
HNRNPL-construct2	random_forest	0.9717375	0.9656894030516724	0.9713374999999999	0.9688195377225991	1800	600	600	1000	2000	0
HNRPLL	logistic_regression	0.85835	0.7826950727097959	0.8780875000000001	0.8067680345736139	1800	600	600	1000	2000	0
HNRPLL	random_forest	0.8825	0.8296431445064707	0.923075	0.8850228401231981	1800	600	600	1000	2000	0
IGF2BP1	logistic_regression	0.8959125	0.8128290780753528	0.8879125	0.8205859834387135	1800	600	600	1000	2000	0
IGF2BP1	random_forest	0.9029375000000002	0.8376613610937746	0.8809624999999999	0.8013008259524412	1800	600	600	1000	2000	0
IGF2BP1-construct4	logistic_regression	0.8917499999999999	0.8282619854705107	0.8962374999999999	0.8381469179757597	1800	600	600	1000	2000	0
IGF2BP1-construct4	random_forest	0.8868750000000001	0.8225543638690955	0.9038125	0.8488191245848745	1800	600	600	1000	2000	0
KHDRBS1	logistic_regression	0.9383374997184875	0.8527486581983144	0.946798493408663	0.877773940539117	1482	484	486	1000	2000	0
KHDRBS1	random_forest	0.9476161520617976	0.8935784729377837	0.9502225646293443	0.9202011690762792	1482	484	486	1000	2000	0
KHDRBS2	logistic_regression	0.9187631227333459	0.9227700049772904	0.9143224440411374	0.9144238231314497	950	324	326	1000	2000	0
KHDRBS2	random_forest	0.9381179614430234	0.9250030089130606	0.9376512401693889	0.9427273030127786	950	324	326	1000	2000	0
KHDRBS3	logistic_regression	0.924525	0.8999604199081063	0.9125374999999999	0.8428785118574216	1800	600	600	1000	2000	0
KHDRBS3	random_forest	0.9245125000000001	0.896602053455424	0.923975	0.8877730896897943	1800	600	600	1000	2000	0
LARP6	logistic_regression	0.853325	0.7380329831959205	0.8453250000000001	0.7291754035747844	1800	600	600	1000	2000	0
LARP6	random_forest	0.8895875	0.8351651584038842	0.8998875	0.8426152884330718	1800	600	600	1000	2000	0
LARP7-construct4	logistic_regression	0.9249250000000001	0.8615705117790791	0.882075	0.7940586481	1800	600	600	1000	2000	0
LARP7-construct4	random_forest	0.9338625	0.8749414411035779	0.9005624999999999	0.8180807838553995	1800	600	600	1000	2000	0
MCM3AP	logistic_regression	0.9636500000000001	0.9354494492652583	0.9576625	0.917527617548291	1800	600	600	1000	2000	0
MCM3AP	random_forest	0.9739500000000001	0.9596208987741772	0.9713125	0.9511462038959785	1800	600	600	1000	2000	0
MEX3B-construct3	logistic_regression	0.9287124999999999	0.8943305478903758	0.9233875	0.9054257066061538	1800	600	600	1000	2000	0
MEX3B-construct3	random_forest	0.9311875	0.9055808036457829	0.9383	0.9232744583465299	1800	600	600	1000	2000	0
MEX3C	logistic_regression	0.9190375000000001	0.8349615375041958	0.9430000000000001	0.8861845922031943	1800	600	600	1000	2000	0
MEX3C	random_forest	0.929825	0.8825620249153986	0.9555499999999999	0.9176893798694176	1800	600	600	1000	2000	0
MEX3D	logistic_regression	0.923675	0.8807015796360668	0.9410375	0.9132899582863085	1800	600	600	1000	2000	0
MEX3D	random_forest	0.9397125000000002	0.9237980474841568	0.943075	0.9274825346707729	1800	600	600	1000	2000	0
MEX3D-construct3	logistic_regression	0.7191624999999999	0.6660424475787322	0.7011625000000001	0.6246327997955676	1800	600	600	1000	2000	0
MEX3D-construct3	random_forest	0.7281375	0.7042797717510967	0.707025	0.6714582646179674	1800	600	600	1000	2000	0
MKRN1	logistic_regression	0.9782249999999999	0.9639594230262738	0.97675625	0.9589101225136035	1800	600	600	1000	2000	0
MKRN1	random_forest	0.9907250000000001	0.9906531062909223	0.99095	0.9883850724770584	1800	600	600	1000	2000	0
MSI1	logistic_regression	0.947475	0.9351926728593114	0.9582875000000001	0.9431743516098431	1800	600	600	1000	2000	0
MSI1	random_forest	0.9573875	0.9501636508582079	0.9581749999999999	0.9490592714328907	1800	600	600	1000	2000	0
MSI2	logistic_regression	0.9072	0.8718661232518188	0.92035	0.8803472898888376	1800	600	600	1000	2000	0
MSI2	random_forest	0.9317375	0.9007904608567421	0.9218374999999999	0.8949747252496543	1800	600	600	1000	2000	0
NOVA2-construct3	logistic_regression	0.9925250000000001	0.9895417156983973	0.9986625	0.997516746414557	1800	600	600	1000	2000	0
NOVA2-construct3	random_forest	0.9882875	0.985225541254302	0.9932874999999999	0.9920183535593688	1800	600	600	1000	2000	0
PABPC5	logistic_regression	0.9189624999999999	0.8761053219235944	0.92225	0.8662915018950135	1800	600	600	1000	2000	0
PABPC5	random_forest	0.9130750000000001	0.886436652440659	0.922425	0.8989499123435758	1800	600	600	1000	2000	0
PCBP1	logistic_regression	0.961075	0.9451760613572625	0.95475	0.9195016689363942	1800	600	600	1000	2000	0
PCBP1	random_forest	0.96585	0.9607592370745621	0.9610500000000001	0.9400586861825397	1800	600	600	1000	2000	0
PUM1	logistic_regression	0.8380875	0.7184600863756655	0.8287	0.6818643173793214	1800	600	600	1000	2000	0
PUM1	random_forest	0.844725	0.7430885058771146	0.8136875	0.6834914156034928	1800	600	600	1000	2000	0
PUM2	logistic_regression	0.983225	0.9509237113783315	0.9839375	0.9701122121790993	1800	600	600	1000	2000	0
PUM2	random_forest	0.9958375	0.9916075952383021	0.9928125000000001	0.9870829219527647	1800	600	600	1000	2000	0
QKI	logistic_regression	0.945075	0.9200686744791142	0.9486625000000001	0.9237481479377536	1800	600	600	1000	2000	0
QKI	random_forest	0.9383375000000002	0.9265893859833588	0.9360124999999999	0.9192307305839218	1800	600	600	1000	2000	0
RALY	logistic_regression	0.9564624999999999	0.9334502702728693	0.9508625	0.9346906137470394	1800	600	600	1000	2000	0
RALY	random_forest	0.96925	0.9623147320269176	0.9614375	0.9578106412036708	1800	600	600	1000	2000	0
RBFOX1	logistic_regression	0.9759500000000001	0.9605362322881725	0.963175	0.9383552044918322	1800	600	600	1000	2000	0
RBFOX1	random_forest	0.9697375	0.9564099949872245	0.9638749999999999	0.9332176190026363	1800	600	600	1000	2000	0
RBFOX1-construct2	logistic_regression	0.8505750000000001	0.7818057676058333	0.860975	0.7902655242838185	1800	600	600	1000	2000	0
RBFOX1-construct2	random_forest	0.8707374999999999	0.8103149276443156	0.884375	0.8170194390569373	1800	600	600	1000	2000	0
RBFOX1-construct4	logistic_regression	0.9813124999999999	0.9609904602480864	0.97485	0.9550077955260688	1800	600	600	1000	2000	0
RBFOX1-construct4	random_forest	0.9840625	0.9836778412272048	0.980075	0.9783087415866999	1800	600	600	1000	2000	0
RBFOX3	logistic_regression	0.988025	0.9783757608533181	0.9751375	0.9578122158143519	1800	600	600	1000	2000	0
RBFOX3	random_forest	0.9867499999999999	0.9845007916224018	0.978625	0.9746583125933547	1800	600	600	1000	2000	0
RBM14	logistic_regression	0.9367875	0.8788203494055894	0.9528	0.9203001747459307	1800	600	600	1000	2000	0
RBM14	random_forest	0.9633999999999999	0.9416650882906166	0.957375	0.9412939084664463	1800	600	600	1000	2000	0
RBM24	logistic_regression	0.993325	0.990333072996824	0.9948875	0.9901668754228576	1800	600	600	1000	2000	0
RBM24	random_forest	0.9970375	0.9961385020846704	0.9937874999999999	0.9922734816862359	1800	600	600	1000	2000	0
RBM28	logistic_regression	0.8686124999999999	0.7747834354484219	0.8653375000000001	0.7584945399257008	1800	600	600	1000	2000	0
RBM28	random_forest	0.9029499999999999	0.8261837306878655	0.8944124999999998	0.8391257154675588	1800	600	600	1000	2000	0
RBM38	logistic_regression	0.975575	0.9719490782329298	0.9780625	0.9734445692092704	1800	600	600	1000	2000	0
RBM38	random_forest	0.98525	0.9821958972519969	0.9768374999999999	0.9775788038397618	1800	600	600	1000	2000	0
RBM4	logistic_regression	0.9187875	0.8785407390585387	0.940475	0.9162527790541168	1800	600	600	1000	2000	0
RBM4	random_forest	0.9629875	0.9554628727662524	0.9716250000000001	0.9627586266323839	1800	600	600	1000	2000	0
RBM42	logistic_regression	0.9933884297520661	0.9971089016639831	0.9921381578947368	0.9951648471887999	1050	321	352	1000	2000	0
RBM42	random_forest	0.9922727272727273	0.9962043829706266	0.9948026315789473	0.9976562494423389	1050	321	352	1000	2000	0
RBM46	logistic_regression	0.9256000000000001	0.8803902400830866	0.9406749999999999	0.9098301362111947	1800	600	600	1000	2000	0
RBM46	random_forest	0.929925	0.9192353798790963	0.9611625	0.9481256559968179	1800	600	600	1000	2000	0
RBM4B	logistic_regression	0.932125	0.8935178631934766	0.9358124999999999	0.8919819811470222	1800	600	600	1000	2000	0
RBM4B	random_forest	0.9544124999999999	0.945834905911293	0.966575	0.9551351676702914	1800	600	600	1000	2000	0
RBM6	logistic_regression	0.9204125000000001	0.8688782975465467	0.9031750000000001	0.8487859135687409	1800	600	600	1000	2000	0
RBM6	random_forest	0.934625	0.9176493789205461	0.92535	0.9106184764086291	1800	600	600	1000	2000	0
RBMS1	logistic_regression	0.8938	0.7645406143414807	0.89795	0.8312171337221406	1800	600	600	1000	2000	0
RBMS1	random_forest	0.9135375	0.8221557962426096	0.9160874999999999	0.852158121542551	1800	600	600	1000	2000	0
RBMS2	logistic_regression	0.9171999999999999	0.8745056322877698	0.8797875	0.7935136189632856	1800	600	600	1000	2000	0
RBMS2	random_forest	0.913225	0.8743738321776061	0.9195125000000001	0.8760985998568562	1800	600	600	1000	2000	0
RBMS3	logistic_regression	0.8491625	0.7907633468020444	0.8789625	0.8272730837990011	1800	600	600	1000	2000	0
RBMS3	random_forest	0.88735	0.8652945196626868	0.8879750000000001	0.8467527866192579	1800	600	600	1000	2000	0
RBMY1E	logistic_regression	0.9411375	0.8692552276070717	0.9239125	0.8669199493376386	1800	600	600	1000	2000	0
RBMY1E	random_forest	0.9273874999999999	0.8706030857753491	0.905	0.8386650035529207	1800	600	600	1000	2000	0
RBMY1F	logistic_regression	0.9376125	0.8995202840107301	0.9544250000000001	0.9330111390508566	1800	600	600	1000	2000	0
RBMY1F	random_forest	0.9393	0.9236017444892538	0.955575	0.9474763979185652	1800	600	600	1000	2000	0
RBMY1J	logistic_regression	0.8965437499999999	0.7747020554706161	0.844925	0.731866050003366	1800	600	600	1000	2000	0
RBMY1J	random_forest	0.9196124999999999	0.8467880706998374	0.862525	0.7864195767654982	1800	600	600	1000	2000	0
RBPMS	logistic_regression	0.976125	0.9652570381774955	0.9869125	0.9741312008136807	1800	600	600	1000	2000	0
RBPMS	random_forest	0.9787874999999999	0.9741534301947798	0.997025	0.9939105464097178	1800	600	600	1000	2000	0
RBPMS2	logistic_regression	0.998825	0.9979010285871784	0.9961625000000001	0.9901693514995038	1800	600	600	1000	2000	0
RBPMS2	random_forest	0.9988125	0.9976731763234608	0.9974375	0.9943875442509286	1800	600	600	1000	2000	0
