protein_name	best_model	auroc	auprc	val_auroc	val_auprc	accuracy	f1	n_train	n_val	n_test	n_pos	n_neg	n_deduped_removed	rna_length_mode	split_mode	dataset
LmjF.17.0550	random_forest	0.9729082809696349	0.9366235469195714	0.9761528673599228	0.9488269981629808	0.9050728277247614	0.8647100930565498	5973	1991	1991	3211	6744	0		honest_60_20_20	rnacompete_rbpzoo
LmjF.18.0190	random_forest	0.9912537739087572	0.9763601192887382	0.9921599189837748	0.979886208843477	0.950247218788628	0.9261806510774874	9705	3235	3236	5148	11028	0		honest_60_20_20	rnacompete_rbpzoo
LmjF.24.1570	random_forest	0.9911438857275578	0.9733785274515375	0.9937932102349708	0.9834227367590245	0.9598265895953757	0.9379741186970103	10378	3460	3460	5449	11849	0		honest_60_20_20	rnacompete_rbpzoo
LmjF.25.0080	random_forest	0.990568695717173	0.9771013493192268	0.9914265117255219	0.9797695693671393	0.9378657007522987	0.9091649694501018	10764	3589	3589	5665	12277	0		honest_60_20_20	rnacompete_rbpzoo
LmjF.25.0500	random_forest	0.9869021663531844	0.9665932494159163	0.9843813313818819	0.961434348016967	0.938822184105203	0.910159529806885	10494	3498	3498	5530	11960	0		honest_60_20_20	rnacompete_rbpzoo
LmjF.27.2100	random_forest	0.9817582257922238	0.9556592310795592	0.9838104578215726	0.9604651816306895	0.9270093723374041	0.8948014735980352	10560	3521	3521	5635	11967	0		honest_60_20_20	rnacompete_rbpzoo
LmjF.29.0680	random_forest	0.9707459302737493	0.9337133087075886	0.9746837444655281	0.9423663657779364	0.908715122287289	0.8659585230146687	8706	2902	2903	4651	9860	0		honest_60_20_20	rnacompete_rbpzoo
LmjF.29.1340	random_forest	0.9915583749902367	0.9784468360986689	0.9876981957353745	0.9708119847897694	0.9495645863570392	0.924415443175639	8267	2756	2756	4341	9438	0		honest_60_20_20	rnacompete_rbpzoo
LmjF.29.1350	random_forest	0.9890270593700055	0.9701414802157045	0.9930060055811315	0.9809011653294386	0.9450061652281134	0.9199856476498026	12162	4054	4055	6416	13855	0		honest_60_20_20	rnacompete_rbpzoo
LmjF.29.1360	random_forest	0.9955920579118928	0.9872174730963128	0.9954957065738465	0.9868623655671085	0.9800944669365722	0.9694774961200207	8889	2964	2964	4683	10134	0		honest_60_20_20	rnacompete_rbpzoo
LmjF.29.1370	random_forest	0.9812182732378898	0.9591499565575954	0.978309179825007	0.9546256364943617	0.9213174748398902	0.8840970350404312	9834	3279	3279	5181	11211	0		honest_60_20_20	rnacompete_rbpzoo
LmjF.30.1110	random_forest	0.9906952199262017	0.9756176165752592	0.9919461222029421	0.9789036706751093	0.9390776699029126	0.9108981185658502	12360	4120	4120	6492	14108	0		honest_60_20_20	rnacompete_rbpzoo
LmjF.30.2180	random_forest	0.9978724475348456	0.9934828720597575	0.9964795552592853	0.9872733202365706	0.9660391288298265	0.949171270718232	8126	2709	2709	4297	9247	0		honest_60_20_20	rnacompete_rbpzoo
LmjF.32.2810	random_forest	0.9866832677488113	0.963183991716899	0.9883126332185604	0.968002208050522	0.9487315010570825	0.9256704980842911	5673	1892	1892	3040	6417	0		honest_60_20_20	rnacompete_rbpzoo
LmjF.33.1450	random_forest	0.9983759183299914	0.9952455882311826	0.9983692571254473	0.9954144790403694	0.9889121965837578	0.982718355908454	10011	3337	3337	5258	11427	0		honest_60_20_20	rnacompete_rbpzoo
LmjF.34.4560	random_forest	0.9974379092026151	0.9925441553428982	0.9982370570605864	0.995251154988506	0.9839520958083833	0.9753585877160721	12524	4175	4175	6631	14243	0		honest_60_20_20	rnacompete_rbpzoo
LmjF.36.5420	random_forest	0.9831974958192727	0.9545591121956005	0.9839418360748813	0.9575364273502787	0.9269406392694064	0.8969555035128806	7224	2408	2409	3889	8152	0		honest_60_20_20	rnacompete_rbpzoo
MBNL2	random_forest	0.9935320307191504	0.9817168585242424	0.995016434113427	0.9879483313075549	0.9643790849673203	0.9464373464373464	9177	3060	3060	4841	10456	0		honest_60_20_20	rnacompete_rbpzoo
NCU00556	random_forest	0.9971800543194006	0.9905840508808105	0.9973992583970466	0.992803955800676	0.9772230889235569	0.9652546406473108	9612	3205	3205	5069	10953	0		honest_60_20_20	rnacompete_rbpzoo
NCU00707	random_forest	0.9709605072872677	0.922090274985263	0.9733830349573631	0.9275636425579851	0.9063557728469349	0.8669160876536611	7975	2659	2659	4180	9113	0		honest_60_20_20	rnacompete_rbpzoo
NCU04254	random_forest	0.9728299583632927	0.9390826782362621	0.9722731301105295	0.9422348454174214	0.9148480958493795	0.8766274023558587	7011	2337	2337	3786	7899	0		honest_60_20_20	rnacompete_rbpzoo
NCU09742	random_forest	0.9795587229196698	0.950387655949694	0.9810712200094339	0.9545621516882241	0.9157458563535912	0.8783649052841476	8688	2896	2896	4594	9886	0		honest_60_20_20	rnacompete_rbpzoo
NEMVEDRAFT_v1g141408	random_forest	0.9925090400124296	0.9795751618398708	0.9932363133835564	0.980552744361884	0.9524103831891224	0.9297445255474452	9707	3236	3236	5096	11083	0		honest_60_20_20	rnacompete_rbpzoo
NEMVEDRAFT_v1g214798	logistic_regression	0.9752519516268652	0.9459347668512932	0.9772765365056266	0.9464350078439524	0.9176201372997712	0.8758620689655172	9177	3059	3059	4862	10433	0		honest_60_20_20	rnacompete_rbpzoo
PF14_0151	random_forest	0.9874230254350737	0.9668767162607546	0.9863072289156626	0.9650156233068087	0.9338403041825095	0.9039735099337748	7888	2630	2630	4151	8997	0		honest_60_20_20	rnacompete_rbpzoo
PFE0865c	random_forest	0.9750325890245064	0.9354254496256856	0.9771550257854704	0.9410384161119754	0.9064398541919806	0.8684660061496413	12343	4115	4115	6551	14022	0		honest_60_20_20	rnacompete_rbpzoo
PFI0820c	random_forest	0.973433391605907	0.9360604054363854	0.9732822619233739	0.9364587145815578	0.9090909090909091	0.8685555039479795	9337	3113	3113	4990	10573	0		honest_60_20_20	rnacompete_rbpzoo
PFI1175c	random_forest	0.9941749894868038	0.9846616816101477	0.9964132850315077	0.9909176538176049	0.9625928772738919	0.9438461538461539	11709	3903	3903	6143	13372	0		honest_60_20_20	rnacompete_rbpzoo
PGTG_00837	random_forest	0.9967504635020943	0.9910402339763178	0.997646793759891	0.9945984909310386	0.9735501091967969	0.9599706206390011	12363	4121	4121	6555	14050	0		honest_60_20_20	rnacompete_rbpzoo
PGTG_09691	random_forest	0.9872290784060906	0.9736305665485414	0.9844834562093727	0.968294464892513	0.947831184056272	0.9215859030837005	5118	1706	1706	2744	5786	0		honest_60_20_20	rnacompete_rbpzoo
PK00353.1	random_forest	0.983545104912127	0.9588462117651757	0.9887586246575584	0.9711505556378905	0.9251297257227576	0.8935721812434141	8091	2698	2698	4303	9184	0		honest_60_20_20	rnacompete_rbpzoo
PK00513.1	random_forest	0.9936052643445499	0.9830507827319134	0.9950623420450898	0.9847204365552148	0.9549596459255403	0.9332819128422677	11520	3840	3841	6082	13119	0		honest_60_20_20	rnacompete_rbpzoo
PK00840.1	logistic_regression	0.9941235940856818	0.9852893101775887	0.9952203614606465	0.9873344387546471	0.9682022013860578	0.9499358151476252	7356	2452	2453	3860	8401	0		honest_60_20_20	rnacompete_rbpzoo
PK01594.1	random_forest	0.9916978032398456	0.9803616913544202	0.9912175159541585	0.9790016952028362	0.9477911646586346	0.92315959161741	8214	2739	2739	4341	9351	0		honest_60_20_20	rnacompete_rbpzoo
PK03611.1	logistic_regression	0.9812207050878344	0.960379759817976	0.9827857803266827	0.9623441834936204	0.9282800815771584	0.8899321857068336	8826	2942	2942	4624	10086	0		honest_60_20_20	rnacompete_rbpzoo
PK04894.1	random_forest	0.9960215167509224	0.9885002672992468	0.997924693227624	0.9931807199109561	0.9715189873417721	0.9567307692307693	9477	3160	3160	4980	10817	0		honest_60_20_20	rnacompete_rbpzoo
PK05280.1	random_forest	0.9728017536648855	0.9370690921467444	0.9753183479532164	0.9387725533927921	0.9027543563799888	0.860032362459547	10671	3557	3558	5626	12160	0		honest_60_20_20	rnacompete_rbpzoo
PK05405.1	random_forest	0.982134356301007	0.9475448929983077	0.9837194011625796	0.9553764485688502	0.9366298607777245	0.9070422535211268	6249	2083	2083	3286	7129	0		honest_60_20_20	rnacompete_rbpzoo
PK07890.1	random_forest	0.989413623037443	0.9752513021327622	0.9895566656641457	0.977356153783661	0.9512307338394295	0.9260808926080892	13041	4347	4347	6884	14851	0		honest_60_20_20	rnacompete_rbpzoo
PK10695.1	logistic_regression	0.9844051803551491	0.9614925006803859	0.9881884039513845	0.9742195024158061	0.9454976303317536	0.9173086800205444	8859	2954	2954	4658	10109	0		honest_60_20_20	rnacompete_rbpzoo
PK11774.1	random_forest	0.9945304971411116	0.9836870458147644	0.9946359350849705	0.9856988946760886	0.9694133759415658	0.9537612146307799	13140	4381	4381	6908	14994	0		honest_60_20_20	rnacompete_rbpzoo
PK13173.1	random_forest	0.9882002878796479	0.973707653277436	0.9871669134452179	0.9701624580290102	0.9392865579966927	0.909919383105503	12699	4233	4233	6702	14463	0		honest_60_20_20	rnacompete_rbpzoo
PK14112.1	random_forest	0.9894469052261838	0.9778465066830392	0.9888231159077575	0.9763058859950166	0.9421425905188503	0.913552704963748	8037	2679	2679	4218	9177	0		honest_60_20_20	rnacompete_rbpzoo
PK15111.1	random_forest	0.9933438930868237	0.9831690487459764	0.9908538528543203	0.9759856206733872	0.95325737657026	0.9308556611927399	10268	3423	3423	5444	11670	0		honest_60_20_20	rnacompete_rbpzoo
PK15181.1	logistic_regression	0.9781569472210597	0.9509546711835243	0.9771237879750595	0.9419323527911801	0.9202535869202536	0.87886467308667	8990	2997	2997	4709	10275	0		honest_60_20_20	rnacompete_rbpzoo
PK16782.1	random_forest	0.9948469210019854	0.985900118311908	0.9963538206454389	0.9906778492070102	0.9612291786329695	0.9421841541755889	10445	3482	3482	5525	11884	0		honest_60_20_20	rnacompete_rbpzoo
PK20300.1	random_forest	0.994588281445027	0.9871007588985894	0.9944101869249268	0.9854568835884963	0.951033386327504	0.9268755935422602	9433	3145	3145	4937	10786	0		honest_60_20_20	rnacompete_rbpzoo
PK20656.1	random_forest	0.9850583457947614	0.9601851933280817	0.9820511583646514	0.9529040716313718	0.9341784495368113	0.9049964813511612	6150	2051	2051	3260	6992	0		honest_60_20_20	rnacompete_rbpzoo
