eclip_id	gt_out_folder	pos_bed	neg_bed	mode_settings	num_pos	min_pos	max_pos	mean_pos	median_pos	num_neg	min_neg	max_neg	mean_neg	median_neg
RBM15_HepG2_ENCSR754NDA	rnaprot_gt_out/RBM15_HepG2_ENCSR754NDA_varlen_ext20_gt_out	rnaprot_gt_out/pos_neg_fasta_out/RBM15_HepG2_ENCSR754NDA.varlen_ext20.positives.bed	rnaprot_gt_out/pos_neg_fasta_out/RBM15_HepG2_ENCSR754NDA.varlen_ext20.negatives.bed	--max-len 300 --mode 2 --seq-ext 20 --seed 1	1223	61	225	95.73426001635323	92	1223	61	225	95.8847097301717	92
RBM15_K562_ENCSR196INN	rnaprot_gt_out/RBM15_K562_ENCSR196INN_varlen_ext20_gt_out	rnaprot_gt_out/pos_neg_fasta_out/RBM15_K562_ENCSR196INN.varlen_ext20.positives.bed	rnaprot_gt_out/pos_neg_fasta_out/RBM15_K562_ENCSR196INN.varlen_ext20.negatives.bed	--max-len 300 --mode 2 --seq-ext 20 --seed 1	6969	61	337	97.73080786339503	93	6969	61	337	97.84459750322858	93
RBM22_HepG2_ENCSR456JJQ	rnaprot_gt_out/RBM22_HepG2_ENCSR456JJQ_varlen_ext20_gt_out	rnaprot_gt_out/pos_neg_fasta_out/RBM22_HepG2_ENCSR456JJQ.varlen_ext20.positives.bed	rnaprot_gt_out/pos_neg_fasta_out/RBM22_HepG2_ENCSR456JJQ.varlen_ext20.negatives.bed	--max-len 300 --mode 2 --seq-ext 20 --seed 1	1772	61	196	96.23984198645599	93.0	1772	61	196	95.95711060948081	92.0
RBM22_K562_ENCSR295OKT	rnaprot_gt_out/RBM22_K562_ENCSR295OKT_varlen_ext20_gt_out	rnaprot_gt_out/pos_neg_fasta_out/RBM22_K562_ENCSR295OKT.varlen_ext20.positives.bed	rnaprot_gt_out/pos_neg_fasta_out/RBM22_K562_ENCSR295OKT.varlen_ext20.negatives.bed	--max-len 300 --mode 2 --seq-ext 20 --seed 1	932	61	165	100.79721030042919	99.0	932	61	165	100.73497854077253	99.0
RBM5_HepG2_ENCSR489ABS	rnaprot_gt_out/RBM5_HepG2_ENCSR489ABS_varlen_ext20_gt_out	rnaprot_gt_out/pos_neg_fasta_out/RBM5_HepG2_ENCSR489ABS.varlen_ext20.positives.bed	rnaprot_gt_out/pos_neg_fasta_out/RBM5_HepG2_ENCSR489ABS.varlen_ext20.negatives.bed	--max-len 300 --mode 2 --seq-ext 20 --seed 1	605	61	213	100.23140495867769	98	605	61	213	99.699173553719	97
RNF187_K562_ENCSR153STI	rnaprot_gt_out/RNF187_K562_ENCSR153STI_varlen_ext20_gt_out	rnaprot_gt_out/pos_neg_fasta_out/RNF187_K562_ENCSR153STI.varlen_ext20.positives.bed	rnaprot_gt_out/pos_neg_fasta_out/RNF187_K562_ENCSR153STI.varlen_ext20.negatives.bed	--max-len 300 --mode 2 --seq-ext 20 --seed 1	565	61	312	135.85486725663716	129	565	61	299	135.26548672566372	129
RPS3_HepG2_ENCSR766FAC	rnaprot_gt_out/RPS3_HepG2_ENCSR766FAC_varlen_ext20_gt_out	rnaprot_gt_out/pos_neg_fasta_out/RPS3_HepG2_ENCSR766FAC.varlen_ext20.positives.bed	rnaprot_gt_out/pos_neg_fasta_out/RPS3_HepG2_ENCSR766FAC.varlen_ext20.negatives.bed	--max-len 300 --mode 2 --seq-ext 20 --seed 1	3749	61	281	98.7554014403841	93	3749	61	281	98.85196052280608	93
RPS3_K562_ENCSR120EAR	rnaprot_gt_out/RPS3_K562_ENCSR120EAR_varlen_ext20_gt_out	rnaprot_gt_out/pos_neg_fasta_out/RPS3_K562_ENCSR120EAR.varlen_ext20.positives.bed	rnaprot_gt_out/pos_neg_fasta_out/RPS3_K562_ENCSR120EAR.varlen_ext20.negatives.bed	--max-len 300 --mode 2 --seq-ext 20 --seed 1	1773	61	270	92.65200225606317	88	1773	61	270	92.76762549351382	88
RPS6_K562_ENCSR100ARZ	rnaprot_gt_out/RPS6_K562_ENCSR100ARZ_varlen_ext20_gt_out	rnaprot_gt_out/pos_neg_fasta_out/RPS6_K562_ENCSR100ARZ.varlen_ext20.positives.bed	rnaprot_gt_out/pos_neg_fasta_out/RPS6_K562_ENCSR100ARZ.varlen_ext20.negatives.bed	--max-len 300 --mode 2 --seq-ext 20 --seed 1	207	61	280	111.02898550724638	106	207	61	280	111.18840579710145	104
RYBP_K562_ENCSR179MPN	rnaprot_gt_out/RYBP_K562_ENCSR179MPN_varlen_ext20_gt_out	rnaprot_gt_out/pos_neg_fasta_out/RYBP_K562_ENCSR179MPN.varlen_ext20.positives.bed	rnaprot_gt_out/pos_neg_fasta_out/RYBP_K562_ENCSR179MPN.varlen_ext20.negatives.bed	--max-len 300 --mode 2 --seq-ext 20 --seed 1	637	61	279	136.9795918367347	132	637	61	279	135.38932496075353	128
