domain_class	count	median	mean
CCCH	4	0.8929686019324374	0.892629216785012
multi	18	0.8463377658101108	0.8054974015217351
RRM	122	0.8380664740102409	0.7917966059499032
KH	28	0.79849734933977	0.7980467179802567
unknown	30	0.7002962743161094	0.699351060123237
CSD	8	0.6595057528764383	0.6877672557585173
